"file_id","input_path","output_path","review_type","field","original_value","candidate","confidence","status","reason","evidence","score","legacy_rejection","ambiguity","density_gap","center_density","center_edge_ratio","threshold_vote_ratio","multiscale_stability"
"MX-M3658N_20260803_172528_009.png","inputs\MX-M3658N_20260803_172528_009.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_009.png","WEAK_MARK_REVIEW","q1","","B","0.318","LEGACY","score_disabled","","0.00","max_mean","0.000","0.024","0.320","2.533","0.750","0.750"
"MX-M3658N_20260803_172528_009.png","inputs\MX-M3658N_20260803_172528_009.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_009.png","WEAK_MARK_REVIEW","q2","","C","0.333","LEGACY","score_disabled","","0.00","max_mean","0.000","0.016","0.200","1.404","1.000","1.000"
"MX-M3658N_20260803_172528_009.png","inputs\MX-M3658N_20260803_172528_009.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_009.png","WEAK_MARK_REVIEW","q3","","A","0.112","LEGACY","score_disabled","","0.00","max_mean","0.000","0.000","0.000","0.000","0.000","0.750"
"MX-M3658N_20260803_172528_009.png","inputs\MX-M3658N_20260803_172528_009.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_009.png","WEAK_MARK_REVIEW","q4","","A","0.000","LEGACY","score_disabled","","0.00","max_mean","0.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_009.png","inputs\MX-M3658N_20260803_172528_009.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_009.png","WEAK_MARK_REVIEW","q5","","A","0.000","LEGACY","score_disabled","","0.00","max_mean","0.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_009.png","inputs\MX-M3658N_20260803_172528_009.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_009.png","WEAK_MARK_REVIEW","q6","","C","0.112","LEGACY","score_disabled","","0.00","max_mean","0.000","0.000","0.000","0.000","0.000","0.750"
"MX-M3658N_20260803_172528_009.png","inputs\MX-M3658N_20260803_172528_009.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_009.png","WEAK_MARK_REVIEW","q7","","C","0.279","LEGACY","score_disabled","","0.00","max_mean","0.000","0.000","0.200","1.617","1.000","0.750"
"MX-M3658N_20260803_172528_009.png","inputs\MX-M3658N_20260803_172528_009.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_009.png","WEAK_MARK_REVIEW","q8","","B","0.138","LEGACY","score_disabled","","0.00","max_mean","0.000","0.000","0.300","2.657","0.000","0.250"
"MX-M3658N_20260803_172528_010.png","inputs\MX-M3658N_20260803_172528_010.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_010.png","SINGLE_CHOICE_CONFLICT_REVIEW","q1","CD","D","0.852","REVIEW","single_choice_conflict","gap,delta_from_blank","4.26","","0.148","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_010.png","inputs\MX-M3658N_20260803_172528_010.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_010.png","SINGLE_CHOICE_CONFLICT_REVIEW","q3","ACD","A","0.366","REVIEW","single_choice_conflict","gap,delta_from_blank","1.83","","0.634","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_010.png","inputs\MX-M3658N_20260803_172528_010.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_010.png","WEAK_MARK_REVIEW","q4","","A","0.150","LEGACY","score_disabled","","0.00","max_mean","0.000","0.004","0.100","0.702","0.000","0.750"
"MX-M3658N_20260803_172528_010.png","inputs\MX-M3658N_20260803_172528_010.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_010.png","WEAK_MARK_REVIEW","q5","","A","0.108","LEGACY","score_disabled","","0.00","max_mean","0.000","0.000","0.100","2.657","0.000","0.500"
"MX-M3658N_20260803_172528_010.png","inputs\MX-M3658N_20260803_172528_010.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_010.png","WEAK_MARK_REVIEW","q6","","B","0.146","LEGACY","score_disabled","","0.00","max_mean","0.000","-0.008","0.100","0.702","0.000","0.750"
"MX-M3658N_20260803_172528_011.png","inputs\MX-M3658N_20260803_172528_011.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_011.png","WEAK_MARK_REVIEW","q1","","B","0.254","LEGACY","score_disabled","","0.00","max_mean","0.000","-0.012","0.200","2.657","0.750","0.750"
"MX-M3658N_20260803_172528_011.png","inputs\MX-M3658N_20260803_172528_011.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_011.png","SINGLE_CHOICE_CONFLICT_REVIEW","q2","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_011.png","inputs\MX-M3658N_20260803_172528_011.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_011.png","SINGLE_CHOICE_CONFLICT_REVIEW","q3","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_011.png","inputs\MX-M3658N_20260803_172528_011.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_011.png","SINGLE_CHOICE_CONFLICT_REVIEW","q4","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_011.png","inputs\MX-M3658N_20260803_172528_011.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_011.png","SINGLE_CHOICE_CONFLICT_REVIEW","q5","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_011.png","inputs\MX-M3658N_20260803_172528_011.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_011.png","WEAK_MARK_REVIEW","q6","","D","0.300","LEGACY","score_disabled","","0.00","max_mean","0.000","0.024","0.080","1.984","1.000","1.000"
"MX-M3658N_20260803_172528_011.png","inputs\MX-M3658N_20260803_172528_011.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_011.png","SINGLE_CHOICE_CONFLICT_REVIEW","q7","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_011.png","inputs\MX-M3658N_20260803_172528_011.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_011.png","SINGLE_CHOICE_CONFLICT_REVIEW","q8","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_012.png","inputs\MX-M3658N_20260803_172528_012.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_012.png","SINGLE_CHOICE_CONFLICT_REVIEW","q1","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_012.png","inputs\MX-M3658N_20260803_172528_012.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_012.png","SINGLE_CHOICE_CONFLICT_REVIEW","q2","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_012.png","inputs\MX-M3658N_20260803_172528_012.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_012.png","SINGLE_CHOICE_CONFLICT_REVIEW","q3","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_012.png","inputs\MX-M3658N_20260803_172528_012.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_012.png","SINGLE_CHOICE_CONFLICT_REVIEW","q4","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_012.png","inputs\MX-M3658N_20260803_172528_012.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_012.png","SINGLE_CHOICE_CONFLICT_REVIEW","q5","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_012.png","inputs\MX-M3658N_20260803_172528_012.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_012.png","SINGLE_CHOICE_CONFLICT_REVIEW","q6","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_012.png","inputs\MX-M3658N_20260803_172528_012.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_012.png","SINGLE_CHOICE_CONFLICT_REVIEW","q7","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_012.png","inputs\MX-M3658N_20260803_172528_012.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_012.png","SINGLE_CHOICE_CONFLICT_REVIEW","q8","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_013.png","inputs\MX-M3658N_20260803_172528_013.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_013.png","SINGLE_CHOICE_CONFLICT_REVIEW","q1","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_013.png","inputs\MX-M3658N_20260803_172528_013.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_013.png","SINGLE_CHOICE_CONFLICT_REVIEW","q2","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_013.png","inputs\MX-M3658N_20260803_172528_013.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_013.png","SINGLE_CHOICE_CONFLICT_REVIEW","q3","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_013.png","inputs\MX-M3658N_20260803_172528_013.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_013.png","SINGLE_CHOICE_CONFLICT_REVIEW","q4","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_013.png","inputs\MX-M3658N_20260803_172528_013.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_013.png","SINGLE_CHOICE_CONFLICT_REVIEW","q5","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
